Log for:D:/Marats training/skill/git/test/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2023-07-19T03:01:45Z
#=#=#=#=# Propagation starts 2023-07-19T03:01:45Z (last step: 604 msec , total: 604 msec) 
2023-07-19T03:01:45Z | README.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1685942869 | fcb942e4998dffaf61e8dc2a13d4a954 | 6298 | 00468592ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 956f366b-c648-4349-bee6-7dc9ce59bbbd | 
2023-07-19T03:01:49Z | 1.python/10.0/10.1/10.1.1.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | c99f4bc4aef66f58ce7250d6552f478b | 103 | 00468604ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 7a6b0bf4-d379-499b-8ef5-169f59ae74d9 | 
2023-07-19T03:01:49Z | 1.python/10.0/10.1/10.1.2.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | 03396a60c087e1a744f5c08efa187c06 | 148 | 00468608ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 88805725-6940-4d57-a37b-14d7b6fbd8d7 | 
2023-07-19T03:01:49Z | 1.python/10.0/10.1/10.1.3.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | 379b90bf73f0ea21cc102e81fbf8202c | 107 | 00468606ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | d9233454-fb95-48c7-adda-6eed4951fb65 | 
2023-07-19T03:01:47Z | 1.python/10.0/10.1 | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 |  | 0 | 00468601ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 5f25f0f3-bbf8-4eb9-a6e9-47cd842c085c | 
2023-07-19T03:01:50Z | 1.python/10.0/10.2/10.2.3.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | 710c72cfa02f62aefb5bab24e9f34d74 | 218 | 00468610ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 32d9eb84-4c7e-4323-9a78-e73ccd020fe0 | 
2023-07-19T03:01:50Z | 1.python/10.0/10.2/10.2.2.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | 13814ece1666635ac2c31f7fd02b4677 | 218 | 00468609ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 08f86683-ba1a-4df9-8b12-6ca243574a6b | 
2023-07-19T03:01:50Z | 1.python/10.0/10.2/10.2.1.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | a0b3221cc15c2fc871461e1de449afbc | 239 | 00468611ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 310ffdb7-7ca4-4ce7-a1c6-9b818067d523 | 
2023-07-19T03:01:47Z | 1.python/10.0/10.2 | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 |  | 0 | 00468600ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 7f68fb02-f82d-478e-90fa-ae5faebc051c | 
2023-07-19T03:01:50Z | 1.python/10.0/10.3/10.3.1.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | 10cb4027f58188c1d74081a184474ff3 | 281 | 00468612ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | d35f460d-3ff6-4375-a899-5ac9044edb95 | 
2023-07-19T03:01:51Z | 1.python/10.0/10.3/10.3.3.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | feb12b427a7aa3b944133ff26f000a8f | 898 | 00468615ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | d37c7350-395f-45a0-b6ae-eaa5c2528d36 | 
2023-07-19T03:01:51Z | 1.python/10.0/10.4/10.4.1.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | 379efd9a9e433e5f5fc1d38ad9420c96 | 242 | 00468613ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 0bd8ada2-8a66-4b53-b61c-1a8f9fab2638 | 
2023-07-19T03:01:51Z | 1.python/10.0/10.4/10.4.2.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1687749362 | 647acab32907ac7a1d1c17a68a6f866f | 675 | 00468616ocq6a30y79n3 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 132fd439-117f-49a0-b89f-38795f04301d | 
